City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
615,Puerto Baquerizo Moreno,EC,77.99,-0.9,-89.6,
616,Tornio,FI,59.02,65.8481,24.1466,
617,Le Port,RE,72.25,-20.9373,55.2919,
618,Kloulklubed,PW,77.5,7.0419,134.2556,
620,Biggar,GB,55.69,55.6167,-3.5167,
621,Bom Jardim,BR,77.34,-7.7958,-35.5872,
622,Mbandaka,CD,72.52,0.0487,18.2603,
623,Truckee,US,65.08,39.328,-120.1833,
624,Borba,BR,79.93,-4.3878,-59.5939,
626,Jalacingo,MX,72.34,19.8,-97.3,
627,Brest,BY,57.36,52.1,23.7,
629,Moose Factory,CA,75.2,51.2585,-80.6094,
630,Batagay-Alyta,RU,53.04,67.8006,130.4114,
631,Iquitos,PE,78.84,-3.7481,-73.2472,
632,Olecko,PL,53.89,54.0337,22.507,
634,Glendive,US,70.75,47.1053,-104.7125,
635,Kenai,US,52.14,60.5544,-151.2583,
636,Slave Lake,CA,57.18,55.2834,-114.769,
638,Imeni Poliny Osipenko,RU,56.79,52.4201,136.4853,
640,Diamantino,BR,76.53,-14.4086,-56.4461,
641,Alofi,NU,73.29,-19.0595,-169.9187,
643,Kokuy,RU,52.74,52.2037,117.5529,
644,Kuopio,FI,62.55,62.8924,27.677,
645,Serenje,ZM,51.8,-13.2325,30.2352,
646,Corinto,GR,78.42,37.9407,22.9573,
648,Jutai,BR,79.18,-5.1833,-68.9,
650,Saurimo,AO,65.95,-9.6608,20.3916,
651,Panhala,IN,70.95,16.8167,74.1167,
652,Limulunga,ZM,59.2,-15.0969,23.1376,
655,Manbij,SY,69.64,36.5281,37.9549,
656,Newala,TZ,62.04,-10.9431,39.2787,
657,Hibbing,US,64.0,47.4272,-92.9377,
658,Kytmanovo,RU,64.63,53.4593,85.4479,
659,Sobolevo,RU,57.02,54.4299,31.8996,
660,Kapuskasing,CA,73.49,49.4169,-82.4331,
661,Sisimiut,GL,36.32,66.9395,-53.6735,
662,Simeykyne,UA,66.9,48.3264,39.5337,
665,Yeniseysk,RU,57.2,58.4497,92.1703,
666,Yar-Sale,RU,44.83,66.8333,70.8333,
667,De Aar,ZA,59.7,-30.6497,24.0123,
668,Katesh,TZ,60.51,-4.5167,35.3833,
669,Anadyr,RU,43.3,64.75,177.4833,
670,Tawang,IN,55.65,27.5833,91.8667,
672,Lubango,AO,54.16,-14.9172,13.4925,
