City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,Hokitika,-42.7167,170.9667,52.05,76,100,26.35,NZ,2022-06-13 18:53:28
275,Hvide Sande,56.0045,8.1294,55.09,73,41,22.44,DK,2022-06-13 18:53:29
276,Sao Miguel Do Araguaia,-13.275,-50.1628,92.25,28,22,3.47,BR,2022-06-13 18:53:22
277,Horsham,51.064,-0.3272,68.74,57,0,4.61,GB,2022-06-13 18:53:29
278,Qui Nhon,13.7667,109.2333,80.24,76,20,4.09,VN,2022-06-13 18:53:29
279,Olafsvik,64.8945,-23.7142,50.29,96,100,17.9,IS,2022-06-13 18:53:30
280,Grand Bend,43.3168,-81.7498,75.74,87,79,4.0,CA,2022-06-13 18:53:30
281,Hakkari,37.5833,44.1667,53.78,55,0,5.64,TR,2022-06-13 18:53:30
282,Samarai,-10.6167,150.6667,81.39,76,49,11.03,PG,2022-06-13 18:53:31
283,Abay,49.6311,72.8539,61.18,77,38,5.55,KZ,2022-06-13 18:53:31
284,Bilibino,68.0546,166.4372,53.76,31,23,3.18,RU,2022-06-13 18:53:31
285,Hamilton,39.1834,-84.5333,93.22,75,75,9.22,US,2022-06-13 18:53:31
286,Mogadishu,2.0371,45.3438,79.23,81,90,19.04,SO,2022-06-13 18:51:23
287,Beloha,-25.1667,45.05,63.32,72,0,8.28,MG,2022-06-13 18:53:32
288,Oleksandrivka,48.9634,32.2349,69.22,59,56,5.35,UA,2022-06-13 18:53:32
289,Ajdabiya,30.7554,20.2263,73.9,74,0,11.05,LY,2022-06-13 18:53:32
290,Upington,-28.4478,21.2561,64.78,32,0,1.14,ZA,2022-06-13 18:53:33
291,Asosa,10.0667,34.5333,63.27,91,100,4.07,ET,2022-06-13 18:53:33
292,Araouane,18.9048,-3.5265,101.07,19,20,3.76,ML,2022-06-13 18:53:33
293,Superior,46.7208,-92.1041,66.47,93,100,20.71,US,2022-06-13 18:53:33
